代码,名称,总市值
510040,上证180ETF指数,442702080
510290,上证380ETF,186192085
516730,证券公司ETF,91789608
516910,物流ETF,57208494
159589,红利100ETF,70236165
516360,新材料ETF,65357431
588500,科创100ETF增强,198279330
510560,国寿500ETF,179902817
510760,上证综指ETF,2902997888
561260,能源ETF,85778998
517330,长江保护ETF,1319161686
159331,红利港股ETF,97097480
512700,银行ETF基金,1299723132
516130,消费龙头ETF,98475300
510210,上证指数ETF,6367048476
513080,法国CAC40ETF,797388156
562970,光伏ETF易方达,137153152
159907,2000ETF,177322900
159910,基本面120ETF,308650085
561600,消费电子ETF,159883668
515110,一带一路国企ETF,285869530
515290,银行ETF天弘,3887148045
159743,湖北ETF,150643167
560110,中证1000ETF基金,299959996
512640,金融地产ETF基金,82629252
159798,消费ETF易方达,120346740
159670,消费ETF基金,97380799
560980,光伏30ETF,149671604
512530,沪深300红利ETF,209961406
588900,科创100ETF南方,336726301
516710,新材料50ETF,47173280
561700,电力ETF基金,115178210
510060,央企ETF,146690490
159355,800红利低波ETF,136586620
159543,国证2000ETF基金,54955303
516890,新材料ETF平安,25346060
159328,家电ETF易方达,147719844
562520,中证1000成长ETF,54986128
560950,500ETF增强,52303531
159855,影视ETF,184890750
515020,银行ETF华夏,351364872
512390,平安MSCI低波ETF,180489740
512000,券商ETF,23723892334
516200,证券ETF指数基金,410406736
159578,深证主板50ETF南方,200558726
512880,证券ETF,28304936220
159532,中证2000ETF易方达,87201769
588460,科创50增强ETF,588350698
588160,科创材料ETF,159787680
513400,道琼斯ETF,1872180726
159711,港股通ETF,65467119
159931,金融ETF,76614605
516670,畜牧养殖ETF,630714712
159692,证券ETF东财,398358105
516310,银行ETF易方达,1165133826
159801,芯片ETF龙头,3248764361
159843,食品饮料ETF,284857018
588260,科创信息ETF,144534084
512280,MSCIA股ETF景顺,49580311
515080,中证红利ETF,7548296382
159719,国企共赢ETF,292714487
159779,消费电子50ETF,91191550
517880,品牌消费ETF,39851311
516530,物流快递ETF,71464722
560620,公用事业ETF基金,88423327
513970,恒生消费ETF,411980251
159699,恒生消费ETF,460909328
562330,中证500价值ETF,16848711
159315,黄金股ETF基金,42504442
159322,黄金产业ETF,28411691
159336,央企红利50ETF,329193424
159581,红利ETF基金,2718473743
562960,绿色电力ETF,60909147
562550,绿电ETF,87551767
510880,红利ETF,22851002790
560700,央企红利50ETF,1068561245
562340,中证500成长ETF,21736340
515560,证券ETF建信,255030449
563180,高股息ETF,296650060
588950,科创50ETF景顺,78316726
562850,央企能源ETF,154405298
159667,工业母机ETF,478393180
516970,基建50ETF,2645457811
516150,稀土ETF基金,1668179631
560150,红利低波ETF泰康,819414667
159549,红利低波动ETF,3415955802
562530,中证1000价值ETF,60857856
563020,红利低波动ETF,1086105770
516620,影视ETF,141314313
560090,证券ETF龙头,1767528215
561120,家电ETF,114712956
515760,浙江国资ETF,221201244
515990,国企一带一路ETF,102908003
515890,红利ETF博时,713927714
588100,科创信息技术ETF,325891976
515850,券商指数ETF,193470744
512180,MSCIA股ETF基金,98837728
517180,中国国企ETF,1269556515
513500,标普500ETF,17239796799
511880,银华日利ETF,58365582208
511600,货币ETF,29582662
511820,鹏华添利ETF,51763106
511620,货币基金ETF,159630749
511900,富国货币ETF,158534267
511700,场内货币ETF,879929187
511830,华泰货币ETF,14761771
511860,保证金货币ETF,44242212
511990,华宝添益ETF,71479258098
511850,财富宝ETF,1332973284
511660,货币ETF建信添益,10909835465
511690,交易货币ETF,849017916
511960,嘉实快线ETF,14421009
511980,现金添富ETF,24081204
511810,理财金货币ETF,646522325
511650,华夏快线ETF,94344717
511950,添利货币ETF,18341100
511800,易方达货币ETF,153826919
511970,国寿货币ETF,31321879
511670,华泰天天金ETF,16421149
588010,科创新材料ETF,356313562
562590,半导体材料ETF,378996690
562350,电力指数ETF,36887147
562060,标普红利ETF,1529433856
561960,央企回报ETF,109961705
561370,2000ETF,15375276
560580,电力ETF南方,31490952
560070,央企红利ETF基金,337246239
560020,红利ETF汇添富,65564976
517900,银行ETF优选,106851095
517550,消费ETF沪港深,47576489
516900,食品饮料ETF基金,38794316
516780,稀土ETF,789838000
516480,新材料ETF基金,13575559
515710,食品ETF,891262284
515180,红利ETF易方达,9534557925
515150,一带一路ETF,689010626
512900,证券ETF基金,6979801000
512890,红利低波ETF,14620337268
512600,必选消费ETF,466731928
512040,价值100ETF,2236929541
510410,资源ETF,398952147
159996,家电ETF,1717574684
159995,芯片ETF,25566654317
159981,能源化工ETF,354720459
